Tipo,Componente,Archivo,Línea,Criticidad,Descripción,Impacto,Solución
APIView,KPIDashboardView,reports_api/views.py,280,CRÍTICA,Solo IsAuthenticated - KPIs financieros expuestos,Cajera ve KPIs del negocio,Agregar TenantPermissionByAction
APIView,BillingStatsView,billing_api/views.py,180,ALTA,IsSuperAdmin pero sin tenant filtering,Cross-tenant data leak potencial,Agregar TenantPermissionByAction
APIView,SaasMetricsView,settings_api/admin_views.py,15,CRÍTICA,IsSuperAdmin - métricas SaaS expuestas,Solo SuperAdmin debe acceder,Mantener IsSuperAdmin (correcto)
APIView,SystemMonitorView,settings_api/admin_views.py,80,ALTA,IsSuperAdmin - monitoreo sistema expuesto,Solo SuperAdmin debe acceder,Mantener IsSuperAdmin (correcto)
APIView,advanced_analytics,reports_api/analytics_views.py,15,CRÍTICA,IsAuthenticated + requires_feature - sin RBAC,Cajera con feature ve analytics,Agregar TenantPermissionByAction
APIView,business_intelligence,reports_api/analytics_views.py,50,CRÍTICA,IsAuthenticated + requires_feature - sin RBAC,Cajera con feature ve BI,Agregar TenantPermissionByAction
APIView,predictive_analytics,reports_api/analytics_views.py,80,CRÍTICA,IsAuthenticated + requires_feature - sin RBAC,Cajera con feature ve predicciones,Agregar TenantPermissionByAction
APIView,realtime_metrics,reports_api/realtime_views.py,10,ALTA,Solo IsAuthenticated - métricas tiempo real expuestas,Cajera ve métricas en vivo,Agregar TenantPermissionByAction
APIView,live_dashboard_data,reports_api/realtime_views.py,60,ALTA,Solo IsAuthenticated - dashboard expuesto,Cajera ve dashboard completo,Agregar TenantPermissionByAction
APIView,performance_alerts,reports_api/realtime_views.py,120,MEDIA,Solo IsAuthenticated - alertas expuestas,Cajera ve alertas de rendimiento,Agregar TenantPermissionByAction
Action,availability,appointments_api/views.py,N/A,MEDIA,Sin permission_map - fallback GET permite acceso,Cajera ve disponibilidad empleados,Agregar a permission_map
Action,cancel,appointments_api/views.py,N/A,ALTA,Sin permission_map - fallback GET permite acceso,Cajera puede cancelar citas,Agregar a permission_map
Action,complete,appointments_api/views.py,N/A,ALTA,Sin permission_map - fallback GET permite acceso,Cajera puede completar citas,Agregar a permission_map
Action,today,appointments_api/views.py,N/A,BAJA,Sin permission_map - fallback GET permite acceso,Cajera ve citas del día,Agregar a permission_map
Action,adjust_stock,inventory_api/views.py,N/A,CRÍTICA,Sin permission_map - fallback GET permite acceso,Cajera puede ajustar stock,Agregar a permission_map
Action,set_employee_price,services_api/views.py,N/A,CRÍTICA,Sin permission_map - fallback GET permite acceso,Cajera puede cambiar precios,Agregar a permission_map
Action,assign_employees,services_api/views.py,N/A,ALTA,Sin permission_map - fallback GET permite acceso,Cajera puede asignar empleados,Agregar a permission_map
Action,mark_as_paid,billing_api/views.py,N/A,CRÍTICA,Sin permission_map - fallback GET permite acceso,Cajera puede marcar facturas pagadas,Agregar a permission_map
Action,pay,billing_api/views.py,N/A,CRÍTICA,Sin permission_map - fallback GET permite acceso,Cajera puede procesar pagos,Agregar a permission_map
Action,register_payment,employees_api/earnings_views.py,N/A,CRÍTICA,Sin permission_map - validación ad-hoc,Inconsistente con RBAC,Agregar a permission_map
Action,approve_period,employees_api/earnings_views.py,N/A,CRÍTICA,Sin permission_map - validación ad-hoc,Inconsistente con RBAC,Agregar a permission_map
Action,recalculate_period,employees_api/earnings_views.py,N/A,ALTA,Sin permission_map - validación ad-hoc,Inconsistente con RBAC,Agregar a permission_map
Action,activate,tenants_api/views.py,N/A,ALTA,Sin permission_map - IsSuperAdmin correcto,Solo SuperAdmin debe acceder,Mantener IsSuperAdmin (correcto)
Action,deactivate,tenants_api/views.py,N/A,ALTA,Sin permission_map - IsSuperAdmin correcto,Solo SuperAdmin debe acceder,Mantener IsSuperAdmin (correcto)
Action,bulk_delete,tenants_api/views.py,N/A,CRÍTICA,Sin permission_map - IsSuperAdmin correcto,Solo SuperAdmin debe acceder,Mantener IsSuperAdmin (correcto)
Fallback,TenantPermissionByAction,core/tenant_permissions.py,100,CRÍTICA,Fallback inseguro - permite GET para acciones no mapeadas,Acciones sin mapeo accesibles por GET,Cambiar a return False (deny by default)
AdHoc,InvoiceViewSet.get_queryset,billing_api/views.py,25,MEDIA,Validación is_superuser en método,Lógica duplicada,Eliminar - usar TenantPermissionByAction
AdHoc,PayrollViewSet._require_admin_role,employees_api/earnings_views.py,15,ALTA,Validación roles.filter en método,Lógica duplicada,Eliminar - usar TenantPermissionByAction
AdHoc,NotificationListCreateView.get_queryset,notifications_api/views.py,12,MEDIA,Validación roles.filter en método,Lógica duplicada,Eliminar - usar TenantPermissionByAction
AdHoc,TenantViewSet.get_queryset,tenants_api/views.py,30,MEDIA,Validación is_superuser en método,Lógica duplicada,Eliminar - usar TenantPermissionByAction
AdHoc,AdminUserManagementViewSet.get_queryset,tenants_api/admin_views.py,20,MEDIA,Validación roles.filter en método,Lógica duplicada,Eliminar - usar TenantPermissionByAction
